name;open;high;low;close;volume;marketCap;timestamp
"2781";4.5408956294;5.3709690453;3.5370404763;3.8018601109;515125582.56;41964931.91;"2023-08-21T00:00:00.000Z"
"2781";3.8038352864;15.9900442141;3.5839197966;6.7827538491;3078126798.96;74868036.99;"2023-08-28T00:00:00.000Z"
"2781";6.7837458311;7.3853662399;4.8364776975;4.9028352628;535133324.72;54117495.64;"2023-09-04T00:00:00.000Z"
"2781";4.9033804257;5.6817097812;4.5701456498;4.9194409986;554444143.7;54300789.75;"2023-09-11T00:00:00.000Z"
"2781";4.919520058;5.9871673555;4.8041945289;5.0171528928;371760260.19;55379333.64;"2023-09-18T00:00:00.000Z"
"2781";5.0172907909;5.4384112845;4.938947022;5.4084737459;232878179.86;59698733.21;"2023-09-25T00:00:00.000Z"
"2781";5.4088946428;5.4581895756;4.7430685382;4.9467250898;195438651.08;54601951.55;"2023-10-02T00:00:00.000Z"
"2781";4.9466722011;5.0236659632;4.3791363964;4.4233822034;154699667.61;48825292.77;"2023-10-09T00:00:00.000Z"
"2781";4.4231512258;4.6500499688;4.0254004045;4.2629562336;138958108.32;47054510.91;"2023-10-16T00:00:00.000Z"
"2781";4.2813680945;6.8145509154;4.2717367446;6.0721520256;742995455.34;67024414.06;"2023-10-23T00:00:00.000Z"
"2781";6.0726496352;7.6563644971;5.7008353528;6.0461142937;569001547.84;66737009.58;"2023-10-30T00:00:00.000Z"
"2781";6.0461438294;7.4641971266;5.8683209717;6.6555889784;514842252.85;73464391.15;"2023-11-06T00:00:00.000Z"
"2781";6.6560699546;8.3007700401;5.8932112066;6.5196837425;632552984.81;71964269.15;"2023-11-13T00:00:00.000Z"
"2781";6.5200248222;6.6101647944;5.6099007281;6.2550707095;241146349.94;69043470.5;"2023-11-20T00:00:00.000Z"
"2781";6.2529838317;6.8501031675;5.7803899859;6.5195915279;220372702.93;71963251.29;"2023-11-27T00:00:00.000Z"
"2781";6.5193480525;7.3547408967;6.2371867926;6.888152779;546024789.79;76031430.38;"2023-12-04T00:00:00.000Z"
"2781";6.8891469264;6.9288097583;5.9614094172;6.1393523882;230958159.77;67766171.67;"2023-12-11T00:00:00.000Z"
"2781";6.1386743905;7.0928996301;5.6978224141;6.6284089742;237073911.8;73164378.26;"2023-12-18T00:00:00.000Z"
"2781";6.6289259194;7.8157758657;6.6289259194;6.7974345219;335942854.22;75030082.26;"2023-12-25T00:00:00.000Z"
"2781";6.7957794985;9.4929678812;6.5889498818;6.6390606186;656966646.34;73281951.11;"2024-01-01T00:00:00.000Z"
"2781";6.6398182435;8.2223717765;6.1973493704;7.5980238348;288353382.73;83866987.09;"2024-01-08T00:00:00.000Z"
"2781";7.5973945415;9.2710040881;7.2531598037;7.53687241;375612149.17;83191997.67;"2024-01-15T00:00:00.000Z"
"2781";7.5380673609;7.6458325933;6.5417261621;7.0026945996;174996819.5;77295743;"2024-01-22T00:00:00.000Z"
"2781";7.0025738114;7.3428266595;6.7403891428;6.8168590128;169343007.5;118228760.09;"2024-01-29T00:00:00.000Z"
"2781";6.8175128766;7.7782765131;6.6788383657;7.3917785017;141865484.41;128199923.97;"2024-02-05T00:00:00.000Z"
"2781";7.3922842257;9.3167001834;7.1652183679;8.9015863358;314365293.86;154385401.45;"2024-02-12T00:00:00.000Z"
"2781";8.9024226005;10.0990191446;8.2012572963;8.7863665457;266541471.49;173132716.88;"2024-02-19T00:00:00.000Z"
"2781";8.787795622;11.4487657414;7.7796963452;9.9342198435;461903221.75;195750821.76;"2024-02-26T00:00:00.000Z"
"2781";9.9341356693;14.1424873835;8.4820988398;11.4276782409;533311919.66;225179752.24;"2024-03-04T00:00:00.000Z"
"2781";11.4277178662;12.2764054055;9.823708213;10.9705336559;329638897.72;216171074.53;"2024-03-11T00:00:00.000Z"
"2781";10.9254915242;14.1119262706;10.5552679564;12.8497160232;634896088.05;253199799.33;"2024-03-18T00:00:00.000Z"
"2781";12.8497160232;15.1859743854;12.6407385982;14.3371555317;385936207.42;282508962.63;"2024-03-25T00:00:00.000Z"
"2781";14.3371359436;14.5969616267;12.1593869636;14.0680693029;252321617.33;267515972.21;"2024-04-01T00:00:00.000Z"
"2781";14.0680693029;14.6576570966;7.1169852941;8.9557028089;305085647.88;170225386.92;"2024-04-08T00:00:00.000Z"
"2781";8.9517740583;9.4404193336;7.9602783403;9.0745352305;149359000.86;180600889.07;"2024-04-15T00:00:00.000Z"
"2781";9.0745352305;9.5215270904;8.4314054308;8.6884918192;133982285.03;184671666.57;"2024-04-22T00:00:00.000Z"
"2781";8.6884918192;9.4580297301;7.8069928503;8.7700376722;160732999.78;186404902.78;"2024-04-29T00:00:00.000Z"
"2781";8.770033828;9.0825580887;7.6737578181;7.7683019008;128809033;165847370.25;"2024-05-06T00:00:00.000Z"
