name;open;high;low;close;volume;marketCap;timestamp
"2781";4.855919838;18.852399826;4.7754402161;12.0324001312;14022600;0;"2017-06-01T00:00:00.000Z"
"2781";11.9642000198;12.1240997314;3.7136099339;6.1209402084;13123400;361135460;"2017-07-01T00:00:00.000Z"
"2781";6.1214399338;20.0443992615;5.740940094;17.3031005859;76872496;1020882900;"2017-08-01T00:00:00.000Z"
"2781";17.3048000336;19.0568008423;5.9070401192;11.5918998718;141320000;683922100;"2017-09-01T00:00:00.000Z"
"2781";11.5859003067;15.1220998764;9.5222101212;10.4462003708;43306600;769133607.51;"2017-10-01T00:00:00.000Z"
"2781";10.4131002426;15.8979997635;9.3497695923;12.9513998032;116134000;954470622.46;"2017-11-01T00:00:00.000Z"
"2781";12.8667001724;77.7452011108;10.736700058;62.3974990845;690937984;4603333381.79;"2017-12-01T00:00:00.000Z"
"2781";62.3144989014;106.8759994507;27.6303005219;42.1156997681;437472000;3110184809.17;"2018-01-01T00:00:00.000Z"
"2781";42.0970001221;42.0970001221;16.6732006073;26.2154998779;98749296;1937734831.25;"2018-02-01T00:00:00.000Z"
"2781";26.3124008179;27.4766998291;11.1809997559;14.2458000183;85937600;1260608277.76;"2018-03-01T00:00:00.000Z"
"2781";14.258099556;25.5977993011;12.6152000427;22.6380004883;414455008;2004861847.3;"2018-04-01T00:00:00.000Z"
"2781";22.7133998871;23.6567993164;12.2497997284;13.3521995544;121813000;1183489551.45;"2018-05-01T00:00:00.000Z"
"2781";13.3596000671;14.9207000732;7.6642699242;8.5727901459;286684000;760102276.12;"2018-06-01T00:00:00.000Z"
"2781";8.5812797546;9.5122404099;6.84131;6.93969;154631000;616122694.32;"2018-07-01T00:00:00.000Z"
"2781";6.92739;7.01734;3.67599;4.66966;113888000;414930260.19;"2018-08-01T00:00:00.000Z"
"2781";4.68868;5.08741;3.08744;3.89172;160072000;346083872.44;"2018-09-01T00:00:00.000Z"
"2781";3.88498;4.62212;3.38174;3.81396;98360500;339452035.92;"2018-10-01T00:00:00.000Z"
"2781";3.82157;4.25466;1.83931;2.0089671397;125985667.73;178947341.69;"2018-11-01T00:00:00.000Z"
"2781";2.0200209889;3.0334401403;1.4793813531;2.1502497426;89854664.89;191691642.39;"2018-12-01T00:00:00.000Z"
"2781";2.1598073287;2.5970429416;1.8010208708;1.8478291935;209126488.59;164868391.09;"2019-01-01T00:00:00.000Z"
"2781";1.8513370827;2.4493731313;1.7197721472;2.0903878943;230401363.21;186650358.81;"2019-02-01T00:00:00.000Z"
"2781";2.090021741;3.0795391421;1.9474514952;2.9279281537;233312110.01;261652343.6;"2019-03-01T00:00:00.000Z"
"2781";2.9219671801;3.6874658761;2.2891330018;2.4502985352;141704889.59;219145693.69;"2019-04-01T00:00:00.000Z"
"2781";2.4392952787;3.5497469919;2.3039756038;3.3063362432;178097265.54;316618660.28;"2019-05-01T00:00:00.000Z"
"2781";3.3064466287;5.9116319307;2.8628954835;4.91863237;380868305.1;471370326.03;"2019-06-01T00:00:00.000Z"
"2781";4.8963179354;5.3399278627;2.5569609058;3.0689982766;201799542.06;294343549.23;"2019-07-01T00:00:00.000Z"
